text	label
@USER you know it! Problem is getting the shit ton of $$$ together to even get to Australia	OFF
We trashy	OFF
They fuck wit my baby sis too much they just gave her a fuckin lemon \ue108	OFF
Just small town girl living in a lonely world she took the midnight train going anywhere, just a city boy born and raised in south Detroit	NOT
@USER can I get cookies for being your best friend \ud83d\ude02	NOT
@USER he needs shielding from his nana too.	NOT
THIS BITCHES CAT JUST THREW UP \ud83d\ude37	OFF
@USER luls. You do enjoy making me squirm. -.-	OFF
Who is youuu?	NOT
@USER Andrea Mitchell. Another political hack embedded in the news media. Listen to the tone of that interview.  She is looking for a gotcha moment instead of commending the guy for the work that he is doing. At every turn he shoots her down and it kills her.	OFF
@USER well done #goodjobbro! #OLBBB	NOT
Mary's giving away my secrets.	NOT
Rugrats fuck with me \ud83d\ude01	OFF
\u201c@Jenaya_yeahhhhh: \u201c@baby_buchman20: \u201c@_NateTheGreat8: 10.1 k\u201d *10.9\u201d *2,485 #Balla\u201d 10k club yo	NOT
@USER no	NOT
I think Kathy's mad at me for finishing the brownie	NOT
catfish	NOT
@USER I’m finna say fuck it and get a crispy ass jogging suit😂😂	OFF
@USER season 1 episode one1?	NOT
Hate to leave my MR....but gotta gooo...:-) #VD#	NOT
@USER fb	NOT
@USER dude same	NOT
Can it be the weekend	NOT
@USER Did you hear that @USER had a game taken away from her because she called an official a theif after he took a point and he only took a game away from her because she is a woman and he'd never have done that to a man? Would love to hear your thoughts on this	NOT
@USER watch it on YouTube	NOT
@USER I wonder who this is about......oh wait	NOT
are you a beaver cause damn.. #WorstPickUpLines	OFF
@USER @USER speechless....	NOT
I think I'm growing up. #WhatIsHappening	NOT
@USER Can I take you to lunch when you are in Germany?! #beauty	NOT
@USER @USER Ware looks great this season! I think they'll do just fine. ;-)	NOT
Finally home	NOT
@USER where do you live ?!?	NOT
bout to pull one of @USER sayings out	NOT
hopefully ill be able to sleeeeep tonight!	NOT
"@USER Please don't start with what he is concerned about. She wants to go out, if he has something planned or an idea of what to do.   Movie or not, it's scary.""  Avery felt like there was something she wanted him to know, but she couldn't remember what off the top of her head."""	NOT
@USER we're gonna have two classes tho :/	NOT
@USER \ud83d\ude02 I miss you janeeeee	NOT
@USER @USER @USER We all know death threat are a Resist/Antifa tactic.	OFF
@USER i thought we were doing lunch?	NOT
I need to work somewhere where I don't like anything	NOT
It's really good to hear your voice saying my name, it sounds so sweet coming from the lips of angel, hearing those words it makes me weak\ud83c\udfb6	NOT
Shanae is the most obnoxious one when drunk. #ShutUpBoutTheTurnUp	OFF
I want one of those in my room	NOT
#bipolar	NOT
There is a 100% chance that I will be laughing during this entire car ride today	NOT
The things coaches think help makes me wonder about them	NOT
@USER hahaha I love you todd:)	NOT
Don't work for a monkey butt Don't work for a monkey butt Don't work for a monkey butt! Lol #reba	OFF
@USER Did all your dreams come true? Unicorns? Rainbows? PTVADTR and any other acronyms I forgot? Bc I'm not seeing post spam ;)	NOT
Wow WTF \ud83d\ude21	NOT
@USER @USER @USER @USER @USER @USER I will admit she hasn’t charted and I blame that on the fact that she is an artist she does things her own way and sometimes not following the trends or staying in a mold will cause you to fall out of the “relevant spotlight”	NOT
@USER y con sus fotos en FB besando el escudo de su equipo jajaj	NOT
It's the simple things that makes the biggest difference ...	NOT
Believe it or not getting paid to tweet and walk	NOT
Great day gotta love the 4th! #USA	NOT
Pandora oh how i missed you ((:	NOT
@USER yeah you pretty much haven't lived until you've had them	NOT
@USER I get out at 8 try not to be too blacked out by then \ud83d\ude0a!!	OFF
Sooo my sex life is non-existent. Favorites for pity	OFF
Trust a few, fuck the rest.	OFF
It's amazing what two cups of coffee and shit ton of sugar will do for your day. \ud83d\ude01\ud83d\ude2c	OFF
@USER AND Bad Lip Reading of the NFL is back. So, you know, winning.	NOT
@USER I think gun control and progressive tax rates are unjust. Can i ignore them?	NOT
ouch my life	NOT
tupacccc can get it \ud83d\ude4c\ud83d\ude0f	NOT
what's good for tonight	NOT
Ben you're making me cry, stop	NOT
@USER you are a traitor URL	OFF
#workjams @USER because she is #everything #buyit URL	NOT
So annoying when people are late \ud83d\ude21	NOT
"@USER @USER @USER @USER He is mocking self-professed populists who claim to speak for the people"" when those who stand up for ""norms"" and ""rights"" are labelled latte drinking elitists"""	NOT
Heads for Dave's house, tails for Mons Venus	NOT
@USER Yet more evidence that the @USER have turned ‘The Party of Business’ into ‘The Party of Fuck Business’. Bizarre.	OFF
@USER valley girls are no good or fun !!	OFF
@USER @USER @USER maybe he is for brutally beating a woman. apparently spending a couple hundred dollars makes up for beatin the piss out of someone	OFF
You will never see me more pissed off.	NOT
I have the best mom ever she told me to go take a nap because I look tired and the eagles are on tonight! #loveit \ud83c\udfc8\ud83c\udfc8 #FlyEaglesFly	NOT
@USER eh come hang out with me so we can go explore and take pictures and stuff	NOT
Shoutout to @USER for dancing in a speedo during free throws. Haha	NOT
@USER lhh , im sorry boo !!! But you going to the meet tomorrow .	NOT
Another episode... really.... #GOTOBED	NOT
Did the redwings win	NOT
You're perfect in my eyes	NOT
Note to self: don't anticipate a school cancelation and stay up till 3 in the morning.	NOT
Your like WHAT 3 times meee ? Hahahahahha :D	NOT
@USER Brian so sorry for your loss But she is probably with Grandpa looking down on all of you with a huge smile So sorry but God wanted her to	NOT
@USER so we're waiting to get back our pictures with Santa. Be a little late	NOT
2 weeks feels like 2 months, can't wait to get back to @USER	NOT
#Tories #Labour #GE2017 #Conservatives Conservatives URL knew Jeremy_Hunt had such language skills 👌🇬🇧🇯🇵  You'll want your sound on 🔊 URL	NOT
I hate late night gym sessions after a long day, but its gotta get done \ud83d\ude29	NOT
It Aint Yaa Spit Game Its Yaa Dick Game ;)	OFF
Teeeen wolf y'all !!!	NOT
@USER thats perfect. Id rather live somewhere with all old people and thrift stores and antique shops	NOT
Today is gonna suck #sotierd	OFF
I have so much I wanna say but ill keep it to myself.	NOT
@USER @USER @USER @USER Actually per the rules it doesn’t matter if she even saw the coaches attempts to coach her - she is to receive a warning based on the coaches actions.  It would have stopped at just a warning but as you saw she couldn’t let it go.	NOT
ohhhhh shut up	OFF
@USER Well that's why BB wins Super it's and you are an overhyped media mouth piece imbecild	OFF
Would anyone like to accompany me on some errands?	NOT
@USER THINK PROBELY I THINK SHE IS GETTING SOMETHING OUT OF IT ..MAYBE MONEY	NOT
So sleepy why am I so tired ?!	NOT
@USER @USER @USER @USER She is not in this photo. It has not been verified that they knew each other. This story is about the weirdest I’ve ever heard and The Texas Rangers better do right by Bo.	NOT
Just schooled trivia @USER @USER @USER	NOT
Maybe there is a God after all. Just got a job :)	NOT
@USER taking any R4 matchups? Nice job today. Hope all is going well with your daughter. Glad to see u back on more	NOT
Just another #manicmonday	NOT
Don't drop that thu thu.	NOT
Sure	NOT
I'm bouta fuckin snap like who TF told whoever to pick up my headphones	OFF
56 million defenseless people were rounded up and exterminated in the 20th Century because  of gun control.	NOT
@USER @USER the flag has already been planted!	NOT
@USER I wonder where it is	NOT
Might have to watch big daddy on netflix	NOT
@USER leaves again today. At least this time it's just for the weekend! Good luck, babe. Go kill shit \u263a\u2764\ud83d\udeb2\ud83c\udfc6	OFF
Your Style Is Generic' Mines Authincmade\ud83d\ude0f	NOT
@USER Is that all you've got? NDP and liberals will grasp at anything to get attention. Sure am enjoying watching the meltdown. @USER @USER	NOT
#Mueller #DOJ #FBI #CIA #LawEnforcement #PoliceState   Proof all law enforcement are paramilitary goons for the communist leftwing #DNC &amp; will do anything to solidify their grip on power.   Conservatives should seriously question their support of police.  URL	OFF
Life is just killing me right now.	NOT
Theres always something pleasant about waking up early	NOT
@USER haha where are you??	NOT
I hate when my tanning package expires and they don't even think to give me a heads up.	OFF
@USER I love how Casey has a nickname for each player on the team	NOT
I'll be the one you won't forget.	NOT
My mom went a little overboard on all the alcohol she bought..	NOT
I couldn't imagine being such a piece of shit.	OFF
Smells good in the kitchen!	NOT
@USER Nah about what?	NOT
#qanda look at who Twitter and Facebook are  currently banning - all conservatives.	NOT
I'm so dramatic hahaha I love it	NOT
So I loved tthe Yanks last year. But I'm going towards the soxs again.	NOT
Nothing like taking a night for yourself and reading your favorite book \ud83d\udcd6 #SisterSouljah	NOT
Joel Anthony sucks lol	OFF
"@USER Does she expect a mob in pussy hats shouting We believe her"" in unison, based on a general distrust of conservatives?"""	OFF
@USER I'm so jealous..	OFF
@USER aw you love me	NOT
Actually antifa makes u want to kick them right in the teeth URL	OFF
@USER okay	NOT
When we do talk it's like there hasn't been a day that past we talked. I love her!	NOT
@USER Us Noles love your passion. Too many espn guys try to stay neutral. Easier for guys like Jesse Palmer to forget going to UF.	NOT
The fact I don't have to wake up till at least 3 tomorrow &gt;&gt;	NOT
@USER boy you sleeeeeeepppp 😭😭 ass be ret on Pansy or Bailey tonight 😂😂😌	OFF
Come on weekend get here \ud83d\ude04\ud83c\udfc8	NOT
@USER I'm so extremely happy for you bud! She's gorgeous! Good job !	NOT
@USER So we should believe this from 40 years ago when the man went to an all boys school. This was a way to try and stop the confirmation and blew up in @USER face. She is a corrupt pos!!!	OFF
Roads are nasty in spots. Be careful peeps.	NOT
Cause it's like how can someone ask so many questions?! Lol	NOT
@USER how? how is this in any way shape or form...	NOT
I drive your car like an old lady cause I'm scared to crash it... #DumbAss	OFF
_ Nd iiL Hit Uhp Monika Lol _	NOT
@USER @USER @USER oh ya I get it... Jax yells Spark plugs! Spark plugs! Trav yells Shut up! It's a diesel #backintheday	OFF
Thee fact that, that shit want funny.	OFF
\@NoHo_ItsJLo: My back is aching from.....	NOT
@USER As a member of antifa? ;)	NOT
Her mouth is like my house so I guess you can say I\u2019m coming home.	OFF
@USER Good thing I watch him online.	NOT
@USER stop being so negative &amp; hard on yourself! Smile, you look great. \ud83d\ude0a	NOT
@USER dev I downloaded it and it doesn't work #yousuck	OFF
Tan guys with dark hair and blue eyes \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\udca7\ud83d\udca6\ud83c\udf0a	NOT
Seriously going to see Ke$ha again next year. Who's with me?	NOT
@USER @USER @USER Please stop calling the losers “Elite”	OFF
I love being ignored\ud83d\udc4c	NOT
swimming with one hot man \ud83d\ude1c\ud83d\ude31\ud83d\ude0d\ud83c\udfca	OFF
@USER yeah im not technically aloud... But whatever	NOT
Like seriously lol wtf	OFF
@USER @USER How much you are paying for patrol... ? Do you think it's because of naheru or Zina... Indira... ?	NOT
Ending the night in tears. #YouWin	NOT
nugcourage	NOT
@USER eat a teaspoon of mustard or drink a coke either one works	NOT
@USER are you in Brooklyn tonight?	NOT
@USER @USER You are right free speech is one thing that makes this country great. Another is the very flag that is a symbol that gives us that right.	NOT
I done shed so many tears...	NOT
@USER I wasn't subtweetin you until you subtweeted me , I tweeted about Florida not you	NOT
If someone brings me a caramel iced coffee from Dunkin I will marry them. SERIOUSLY.!	NOT
When my professor tells me I can skip class and to go get wasted &gt;&gt;&gt;&gt; \ud83d\ude0d	OFF
Can't wait till tonight! Turnt up with the best friend!	NOT
@USER Merry. Christmas!! Luv Zj	NOT
Campus pizza is open till 1am on thurs and fri now. Sickkkkkk	NOT
I'm sobbing	NOT
So tired.	NOT
@USER Brilliant journalistic commentary here	NOT
@USER @USER FASCISTS OF THE FUTURE WILL CALL THEMSELVES ANTI FASCIST.  ANTIFA COMES TO MIND.	OFF
I haven't ate anything all day	NOT
@USER Uhhh no.  Sadam gassed the shit out of the Kurds (sp?)	OFF
@USER @USER precisely!	NOT
@USER you won't!! you only get it if it was as bad as mine!	NOT
...it will be hard to believe any female accusers...ever again...especially liberals who lie for personal and political gain... URL	OFF
The police officer said I was a very polite person and that's the reason I didn't get a ticket. It pays to be nice	NOT
@USER ard and where you going be at then ?	NOT
@USER @USER @USER He will blame it on the fact that he is Hispanic of course.	NOT
People piss me off SO FUCKING MUCH.	OFF
@USER @USER Who ever supported this guy? You know they can never be trusted.	NOT
"@USER Being the good Christian that he is, he asked God to spare his properties. Virginia beach was only slightly impacted. You know the 700 club prayer, God spare me and mine, to hell with everybody else""."""	NOT
It makes my day when I see other people wearing purity rings!	NOT
@USER hahaha \do you see her outfit????\	NOT
Sometimes I wonder what the world would be like with out the United States?	NOT
Baltimore 14 New England 13- One of the tightest games I have watched lately- Joe Flacco may be the deciding factor here-End of 3rd	NOT
@USER appreciate it brotha	NOT
So damn tired	OFF
@USER U nasty bitch	OFF
Watching My So Called Life.I WAS Angela Chase &amp; I had my own Jorden Cattalano! His name was Anthony Bxxb.I cant say his last name.He was HOT	NOT
@USER thanks for making me seem like a giant weirdo through twitter	NOT
@USER @USER @USER Kim doe lmao	NOT
\u201c@carcomerford: My biggest pet peeve is opening the door for someone and them not saying thank you \ud83d\ude21\u201d	NOT
"@USER @USER @USER the Free press""??? You mean mainstream corporate media??? You ought to look into what you are speaking of. I come from a line of journalists and printers that were and are an integral part of truly free press. WE are not shutting down speech, the LEFT is. Antifa. @USER"	NOT
#nowwatching The Break-Up #love	NOT
@USER Bono mocks nationalists during his concert in the last free part of Paris.	NOT
@USER A disgrace	NOT
Gahhh so much good news!!!	NOT
@USER lucky duck	NOT
@USER Bummer that you are excluding A-List members from the #AStarIsBorn special events. I guess you guys are already testing shady Moviepass tactics on us. 😒	NOT
@USER the answer is yes	NOT
@USER goodday \ue011	NOT
I'd say it was a pretty successful trip #Athens	NOT
NO.	NOT
@USER @USER @USER @USER // A todas Anny. Un beso grande y cien m\u00e1s para un lindo amanecer en el n de Dios LQM.	NOT
Aaaaand my brother threw up his entire xmas dinner on the drive home.	NOT
@USER @USER @USER Agree Liberals will not have a majority but you will see People's Party of Canada in the running your little c party will be lower in the ranks the the NDP.	NOT
@USER #OWNED	NOT
@USER Do we get to choose which women go first?	NOT
"@USER Ok - you hear about the superman"" thing all the time. And you are certainly busy, but, this could be an EXCELLENT opportunity to step in, in the movies for him as Cavill is steping down!:  URL"	NOT
\If a fellow isn't thankful for what he's got, he isn't likely to be thankful for what he's going to get.\ Frank A. Clark #thankful	NOT
@USER I did! Lol. I switched back!	NOT
Watched you fight today @USER you are something special!!!	NOT
@USER I borrowed it from Koltan last year, I fell in love \ud83d\ude0d	NOT
Who wants picked up	NOT
I can't believe my brother is 20. Shit is cray	OFF
Stay the fuck out of my life. Bitches.	OFF
@USER Antifa members have to be their #1 clients.	NOT
Playing basketball in cowboy boots is not the most ideal thing	NOT
@USER And they have some of the strictest gun control laws in the country? As the saying goes if you ban guns only criminals will have them! Seems to be proving here go get them Chicago.	NOT
S\u00f3lo quiero contigo por las calles caminar &lt;3	NOT
Gettin caught, I'm definitely not about that life. #Shit	OFF
@USER @USER He's a crook #TrumpTime URL	OFF
@USER @USER @USER @USER @USER CREEPY	NOT
We Are The Millers \ud83d\udc6a	NOT
@USER omg.....	NOT
@USER do you guys have an email that I could contact you guys at?	NOT
@USER just crossed the border. #gameday #whatbarareyougoingto	NOT
"@USER @USER Chequers delivers Brexit (changes the relationship with the EU). It does not deliver leave the European Union"" (referendum question.) I think we should stop using the word Brexit to mean leave, and actually say ""leave the EU"". ""Brexit"" meaning willfully mutated by remainers."""	NOT
@USER Sure thing😏	NOT
Candy + studying = awesome #thanksmom	NOT
@USER Maybe we need more gun control after all - liberals should not be allowed to possess them!	NOT
@USER Yeah because godless liberals hate truth an facts	OFF
@USER @USER @USER @USER @USER also trump IS a fascist- LITERALLY.  the central govt thing for anyone always seems to depend upon who's running it. magas are fine with fascist trump and liberals were fine with obama. my ideas about good government are a bit different. of course i did admit to being a quaker.	OFF
@USER vegetable soup and saltine crackers	NOT
@USER @USER well what do you expect... triston and I dominate lol	NOT
@USER so is it they didn't pay you for the hours or you just didn't get paid at all?	NOT
Well i am ready for a trip to Alaska. Anyone want to tag along?	NOT
@USER ohmygosh. I'm missing it\ud83d\ude33 #mylifeisover	NOT
I can't read the top line of my tweets hahah	NOT
Eating Mommas spaghetti tonight with @USER	NOT
brain so good, coulda swore you went to college	OFF
@USER amor te extra\u00f1o mamita no se xq si todo el tiempo estas en mi mente tatita	NOT
@USER no cell service. May as well be mars. Plus, if you\u2019re djing, you don\u2019t want to hope something downloads before the cue hits	NOT
@USER you did the exact some thing	NOT
@USER looks so fierce.	NOT
Yo gucci twitter back up. Nigga gotta be hacked.	OFF
"@USER The comments below, defending Drug Ford's blatant abuse of power is completely laughable.  But, but the Liberals.  Bias, BIAS I tell you!!!  Must be only the NDP rich downtown area that was polled"".  Ho-man... thanks guys... I needed a good laugh! 😂😂😂"""	NOT
@USER beg to differ	NOT
I'm shocked that this gun addict is also an alleged pervert! URL   #NRA #2A #MolonLabe #gunsense #momsdemand #MAGA #WednesdayWisdom	OFF
I love drakes new song Hold on were going home. Omg love \u2764	NOT
Walked outside having no idea it was snowing	NOT
I wish someone would give me my own reality show in my journey to find love, a boyfriend...hell maybe even a one night stand.	OFF
Correction, not fast enough.\u270b	NOT
Trop de niveau dans le LT de Tom #idole	NOT
We fading away	NOT
Should have some fans tn \ud83d\ude0f	NOT
Pean tho lol	NOT
@USER you never run faster when you're afraid #getawayfromthecopsspeed	NOT
Emotional watching Miley's 21 Candles	NOT
I'm so happy to be a Trojan! #TrojanPride	NOT
@USER like the bae search is so difficult right now.	NOT
@USER @USER Yes it does. She should be made to resign.  #MAGA	NOT
@USER Boycott the NFL	NOT
Why is there not a Shark Emoji?!?\nThere should be one!! #SharkAfterDark	NOT
But now it's beer time at the pine	NOT
I'm a bitch, I'm a lover.	OFF
@USER am anxious to see what you have in store for me. Regretably I am unable to receive your gift in person. Please send by post\n\nK	NOT
@USER @USER fave show on tv #TAR	NOT
@USER You are wise.	NOT
Girls are funny. They can be soo desperate at times. I guess I win! :)	NOT
Fuck I should if gone to the fair!	OFF
you're mine, long as you know who you belong to, \ud83d\udc95	NOT
He's getting me mad \ue403\ue403	NOT
Are you &amp; Manziel brothers or sonething because you are caring a bit to much! Lol	NOT
You're a	NOT
I've told people for to long that I wish I could play hockey, so I went and got some skates today. So happy.	NOT
Everybody fallin asleep but me and @USER doin it live #yadig	NOT
849- I miss going to your house and having a hell of a time we need to all do it again soon!	OFF
The day I don't wanna go our everyone decides to hmu with plans... Cool	NOT
So glad I'm leave school early tomorrow. \ud83d\udc4c	NOT
@USER so sad at you	NOT
So. Did it snow?	NOT
\@reIatable: Yes, I made a mistake. No, you don't need to keep bringing it up.\but thanks cause I remember u havent made any mistakes	NOT
@USER Trump will never be a free range chicken again  He is a danger to the world while under constant surveillance and scrutiny   Imagine him gallivanting around the world with the little scraps of actual intel he does know completely unfettered  Just don't see it happening	OFF
i just want too sleep in for one day. thats all i want, but fuck what i want, right?	OFF
@USER cool, while you're at it, bring me Starbucks	NOT
League champs round 4. Congratulations @USER keep em commin'!	NOT
I'm gonna throw up	OFF
@USER This is so fake he’s unable to feel true feelings he even lies when he says anything and she is just as stupid in standing by a man who clearly doesn’t respect the unity of marriage while he was with her and pay these women off STAND UP DIVORCE LIKE HIS OTHER WIFES DID HES A PIG	OFF
He better get his fucking act together because I'm not sitting home all day like I do every fucking weekend	OFF
Just ready for this new year ready to get that new whip	NOT
@USER Bono is clearly a racist	OFF
I love hearing rumors because I find out so much stuff about myself I didn't even know.	NOT
@USER your quitting?!	NOT
I look like a bum	OFF
@USER I wasn't going to anyway haha	NOT
Omg my Grammy lags	NOT
